model,config,block,importance,lo,hi,p
RandomForest,2,Volume,0.09189008894228723,0.06469369297179878,0.14229492477450975,0.0
RandomForest,2,Area,0.018330598937631337,0.0061653645852779645,0.032152128113389876,0.005
RandomForest,2,MaxHeight,0.006564718423607285,-0.0011966494268569132,0.015342716305094721,0.095
RandomForest,2,CenterDiviation,0.00048329421392523386,0.00028116592379557324,0.000829547851387935,0.0
RandomForest,2,UsedCoilArea,0.0014258689320056916,3.5266822608495716e-05,0.003290017447932457,0.035
RandomForest,2,SensorTemp,0.00020889245093635989,8.39405354894629e-05,0.0004277319538269291,0.0
RandomForest,2,SensorValueRAW,0.6329692632069107,0.46007506239654944,0.9095553583547004,0.0
RandomForest,2,GEOMETRY_BLOCK,0.15749122671126126,0.1116619296102579,0.22901425185671903,0.0
RandomForest,3,Volume,0.09360561866974537,0.06550010085892008,0.14504319878823557,0.0
RandomForest,3,Area,0.018339713947034597,0.005969678565373664,0.03229210337515575,0.005
RandomForest,3,MaxHeight,0.00650120236187568,-0.0012328100036466808,0.015330334207860384,0.095
RandomForest,3,CenterDiviation,0.0004881930544330393,0.0002851306706017215,0.000833339099637409,0.0
RandomForest,3,UsedCoilArea,0.0014207921168409854,6.29953243292542e-05,0.0032444104026050566,0.035
RandomForest,3,SensorTemp,0.0002070280313611894,8.033192500879749e-05,0.00042693518460907296,0.0
RandomForest,3,SensorValueRAW,0.6328038214308113,0.45961461865056547,0.9092833874850849,0.0
RandomForest,3,GEOMETRY_BLOCK,0.1586135148517509,0.1123179750695307,0.23110046761719968,0.0
RandomForest,4,Volume,0.09733588260843729,0.06782734960627408,0.15137445418416437,0.0
RandomForest,4,Area,0.01633502330743175,0.004026077749687191,0.029151701009786184,0.01
RandomForest,4,MaxHeight,0.0064637250308102745,-0.0012932418503177833,0.014981039993792425,0.085
RandomForest,4,CenterDiviation,0.0004504656589771061,0.00023987413554655835,0.0007864167931065008,0.0
RandomForest,4,UsedCoilArea,0.0014800054355472714,2.865372714180868e-05,0.0033221027709021507,0.05
RandomForest,4,SensorTemp,0.00016498352802907235,4.887393370264226e-05,0.00036386796025108246,0.005
